id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
31	acquisition	0.2153	-0.5808	3	38	63	10	2003.3	77.2	0.7618
38	activation	0.1164	0.4357	2	43	59	13	2003.6923	107.9231	1.0196
70	aging	0.2566	0.3039	1	35	49	10	2005.9	168	1.0913
90	alzheimers-disease	0.1341	-0.0794	4	31	56	13	2005.6923	134.4615	2.2178
93	amnesia	0.5725	-0.0478	1	54	122	26	1999.0769	66.0769	0.78
99	amygdala	-0.3803	-0.444	3	64	135	22	2003.7273	132.2273	1.2012
112	anisomycin	-0.4242	0.7487	2	30	38	5	2002.2	104.2	1.3331
186	basolateral amygdala	-0.3712	-0.6685	3	46	77	11	2004.3636	92	0.7793
214	binding	0.5769	0.6276	1	28	42	10	2005.6	46.5	0.701
224	brain	-0.1254	0.2295	2	56	91	18	2006.1111	73.3889	1.0057
313	cognition	0.6425	0.3527	1	22	34	9	2007.3333	48	0.7976
339	conditioned place preference	-0.5224	0.6279	2	23	38	7	2007.7143	108.2857	1.6435
353	conjunctive representations	-0.4414	-0.8109	3	28	43	6	2004.8333	101	1.1929
359	consolidation	-0.3379	0.0168	2	61	163	27	2005.2963	113.4815	1.1039
362	context	0.421	-0.4661	1	59	125	20	2003.9	82.3	0.8215
368	context memory	0.5807	0.5067	1	68	248	57	2003.9474	56.4737	0.7047
379	contextual fear	-0.6947	-0.3308	4	37	72	12	2005.5	101	0.9897
380	contextual fear conditioning	-0.5297	-0.4982	3	24	32	6	2006.5	84.1667	1.1286
384	contextual memory	-0.1318	0.086	4	62	119	27	2006.5926	46.8519	0.8137
393	cortex	0.1805	-0.1945	4	34	42	8	2002.875	90.125	0.6844
403	crab	-0.2803	1.1828	2	21	42	6	1999.1667	53.5	0.5439
415	crustacea	0.018	1.0892	2	23	42	5	2000.8	63.6	0.4888
434	damage	0.6868	-0.5922	1	29	42	7	2003.1429	58	0.7601
435	danger stimulus	-0.1269	1.089	2	30	72	13	2000.5385	79.4615	0.9018
441	declarative memory	0.2162	-0.3775	3	38	52	10	2006.9	68.5	1.0255
447	deficits	0.6182	-0.4594	1	44	84	15	2004.0667	103.9333	0.9205
461	dentate gyrus	-1.0148	0.0245	4	28	54	14	2004.8571	136.3571	1.4384
468	depression	-0.7435	0.2606	4	21	35	8	2002.75	121	1.1217
485	discrimination	0.429	-0.23	1	30	41	8	2002.5	83.875	0.7949
507	dorsal hippocampus	-0.2907	-0.8453	3	56	182	29	2005.3793	126.7931	1.3172
534	electrolytic lesions	-0.2131	-1.1223	3	24	37	5	2003.4	158.2	1.4766
549	entorhinal cortex	0.1723	-0.8791	3	36	63	10	2004.5	167.3	1.5062
558	episodic memory	0.7059	-0.0703	1	60	175	40	2004.525	106.15	1.0059
582	expression	-0.5633	0.2699	2	47	67	12	2004.25	92.8333	1.2377
583	extinction	-0.214	-0.0482	2	57	135	18	2005.6111	96.7778	1.0181
594	facilitation	-0.1991	0.8725	2	28	38	7	2002.4286	74.2857	0.9431
601	familiarity	1.0625	0.291	1	21	44	9	2006.6667	29.8889	0.5358
605	fear	-0.1906	-0.3598	3	58	148	22	2004	104.9545	1.0343
606	fear conditioning	-0.1779	-0.4987	3	56	120	19	2004.5789	68.3158	0.8582
625	fmri	1.0198	0.1181	1	26	53	11	2007.4545	37.7273	0.7262
642	freezing	-0.1683	-0.9742	3	35	71	8	2001.875	156.375	1.1187
656	frontal-lobe lesions	1.1329	-0.1458	1	18	34	8	2001.125	52.625	0.5566
691	glucocorticoids	-0.6323	0.1151	4	30	37	6	2004.8333	327.3333	2.0629
702	granulatus	-0.1661	1.1934	2	25	55	8	1997.75	50.125	0.5499
715	habituation	-0.0309	1.1845	2	28	66	11	2001	51.5455	0.594
754	hippocampus	-0.3389	-0.2684	3	81	300	54	2003.9444	100.4815	1.1043
787	impairment	0.6936	0.081	1	34	62	11	2003.5455	48.6364	0.7403
814	induction	-0.4707	0.2258	2	26	35	6	2003.1667	113.5	1.1556
818	information	0.7115	-0.325	1	49	117	28	2003.25	71.4643	0.8388
821	inhibition	-0.061	0.4599	2	43	58	9	2004.6667	51.5556	0.6173
824	inhibitory avoidance	-0.632	-0.716	3	33	46	8	2005.375	68	0.8623
882	latent inhibition	0.0898	-1.0946	3	31	61	7	2002.2857	151	1.1031
889	learning	-0.2269	0.4567	2	54	89	12	2002.9167	70.25	0.5717
894	lesions	0.064	-0.5433	3	50	92	14	2002.5714	112.2143	0.9621
921	long-term potentiation	-0.8459	-0.0343	4	55	174	41	2004.5122	144.6829	1.5442
922	long-term-memory	-0.3808	0.4079	2	46	106	19	2005.2105	85.0526	0.8329
924	ltp	-0.5302	0.0574	2	33	52	10	2005	82.5	1.0955
941	mechanisms	0.387	0.6184	1	33	43	11	2005.2727	41.7273	0.8234
948	medial temporal-lobe	1.0132	-0.2516	1	24	51	11	2004.9091	45.6364	0.6938
955	memory	0.0699	0.2346	2	88	286	57	2003.8421	87.2281	0.8471
956	memory consolidation	-0.5529	-0.3072	4	38	62	10	2004.4	45.4	0.5749
