id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
57	acquisition	-0.6032	0.5022	3	47	98	13	2015.3846	18.0769	0.9622
67	activation	-0.0555	-0.4405	4	45	79	23	2016	22.8696	1.5987
85	addiction	-1.1679	-0.2856	2	33	82	16	2015.8125	11.625	0.6862
110	adult neurogenesis	-0.5333	-0.6543	2	34	63	15	2016.0667	17	1.5777
126	age-related differences	0.9131	0.6392	1	28	62	11	2013.4545	20.1818	0.6807
133	aging	0.6894	-0.0345	1	64	191	32	2014.5312	18.625	0.937
164	alzheimer's disease	0.3141	-0.653	4	51	118	27	2014.6667	48.9259	1.7306
167	alzheimers-disease	0.4196	-0.3061	1	81	274	58	2015.3448	15.6379	0.8117
173	amnesia	0.4619	-0.1377	1	41	66	11	2015.0909	8.6364	0.5195
181	amygdala	-0.5529	0.3282	3	74	244	43	2016.3721	11.6977	0.8617
228	anterior cingulate cortex	-0.2912	0.8528	3	35	63	14	2016.1429	15.0714	0.7896
244	anxiety	-0.0047	-0.5648	4	55	117	25	2016.28	10.04	0.6555
289	associative memory	0.5099	0.4594	1	48	94	15	2016.1333	25.1333	1.6606
300	attention	1.1568	-0.1909	1	34	88	27	2016.037	13.1111	1.0441
323	autobiographical memory	0.8889	-0.3989	1	35	79	18	2015.4444	16.1111	0.6888
352	basolateral amygdala	-0.9164	0.3557	3	53	145	30	2014.7	23.7333	0.983
365	behavior	-0.1925	-0.2303	2	54	92	17	2015.5294	21.7647	1.0754
407	binding	0.9033	-0.2747	1	43	90	17	2014.5294	13.8235	0.5922
429	brain	0.1337	-0.3324	4	77	239	54	2015.0926	23.4259	1.0341
432	brain activity	1.0356	0.5349	1	32	75	13	2015	17.5385	0.9028
463	c-fos	-0.5376	0.7522	3	44	93	14	2015.5	20.4286	0.6651
626	cocaine	-0.9097	-0.3083	2	46	93	18	2015.2778	15.8889	0.9544
634	cognition	0.181	-0.7179	4	42	71	19	2016	45.8947	1.8566
648	cognitive impairment	0.0395	-0.7359	4	38	58	15	2015.7333	29.1333	1.7925
702	conditioned place preference	-1.2127	-0.1512	2	38	126	28	2015.1786	14.4286	0.9355
730	consolidation	-0.4655	0.4703	3	75	291	54	2014.7778	15.1111	0.6606
737	context	0.103	0.4884	3	73	221	40	2015.425	18.65	0.8735
750	context memory	0.845	0.0119	1	75	470	106	2015.0377	13.0755	0.6902
767	contextual fear	-0.2136	0.2111	4	53	102	19	2014.1579	23.1579	0.948
773	contextual memory	-0.2748	-0.3423	2	84	314	76	2015.5658	14.7763	0.8535
790	cortex	0.0097	-0.0008	2	62	108	18	2015.8333	16.2778	0.9634
900	deficits	0.5074	-0.4599	1	56	132	29	2015.3103	13.9655	0.5177
910	dementia	0.8528	-0.5467	1	36	70	14	2013.8571	17.5714	0.7214
917	dendritic spines	-0.9049	-0.507	2	32	61	14	2016.3571	14.5714	1.0683
921	dentate gyrus	-0.6427	-0.285	2	66	187	39	2016.5128	21.6154	1.8925
942	destination memory	1.174	-0.4075	1	32	72	11	2016.3636	8.5455	0.4819
981	discrimination	-0.0504	0.6337	3	33	58	12	2013.8333	30.25	1.0536
1006	dopamine	-1.0377	-0.2181	2	35	60	14	2016.9286	8.2143	0.9569
1017	dorsal hippocampus	-0.6634	0.6304	3	66	234	41	2015.1463	15.878	0.914
1140	entorhinal cortex	0.037	0.7932	3	42	79	13	2016.1538	36.7692	1.7382
1160	episodic memory	0.8294	0.1679	1	73	443	82	2015.2317	16.5366	0.8501
1223	expression	-0.5588	-0.066	2	76	273	56	2015.9464	19.2321	1.145
1225	extinction	-0.9464	-0.0759	2	52	117	23	2015.8696	10.6522	0.8484
1263	familiarity	0.9648	0.3566	1	49	156	31	2014.4194	23.9032	0.8065
1271	fear	-0.7174	0.386	3	61	214	40	2014.875	23.075	0.9277
1273	fear conditioning	-0.4838	0.1638	3	65	167	28	2014.2857	23.8571	0.9833
1279	fear memory	-0.7889	0.1653	2	57	152	32	2015.9375	36.9062	1.9072
1307	fmri	0.8893	0.4867	1	43	141	30	2014	23.9	0.8472
1389	gene-expression	-0.8364	-0.0098	2	40	80	17	2014.7647	39.6471	1.4679
1516	hippocampal	0.4774	0.2192	1	40	65	14	2015.4286	14.5714	0.7337
1543	hippocampus	-0.1447	0.0707	4	96	788	146	2015.2603	22.5959	1.1131
1639	impairment	0.5079	-0.5808	1	43	71	16	2014.25	13.5625	0.5285
1656	in-vivo	-0.7279	-0.6144	2	38	71	23	2016.1739	48.087	2.3835
1701	information	1.2024	-0.0735	1	41	123	28	2015.5357	12.1429	0.7083
1709	inhibition	-0.5834	-0.4584	2	37	55	15	2015.3333	22.3333	1.3459
1777	item	1.2288	0.1745	1	36	85	17	2014.7647	17	0.56
1857	learning	-0.6279	0.1773	2	52	96	16	2013.75	17.375	0.7808
1864	lesions	-0.1823	0.7125	3	57	133	18	2014.5	11.8889	0.482
1922	long-term potentiation	-0.7249	-0.4469	2	70	252	62	2015.5806	19.629	1.2148
1925	long-term-memory	-0.3146	0.4206	2	71	222	43	2014.814	22.093	1.0446
1974	mechanisms	-0.1746	-0.1079	2	60	111	24	2017.125	6.875	0.5977
1977	medial prefrontal cortex	-0.2585	0.5638	3	61	124	22	2017.0909	12.8182	1.2274
1982	medial temporal-lobe	0.66	0.5442	1	62	230	40	2015.15	23.6	1.0316
1994	memory	0.0591	-0.2118	4	95	509	113	2015.2478	14.6195	0.7124
2020	memory retrieval	0.0353	0.2871	4	41	65	12	2014.5	23.4167	1.099
2057	mice	-0.3794	-0.2426	4	71	209	41	2013.8537	31.0976	1.2319
2087	mild cognitive impairment	0.7008	-0.4377	1	42	87	17	2014.4706	24.7059	1.0349
2112	model	0.1374	-0.0849	4	44	77	18	2015.4444	10.4444	0.7302
2117	modulation	-0.387	-0.4915	4	45	94	19	2016.1579	20.7895	1.265
2141	mouse model	-0.2321	-0.8412	4	31	54	17	2016.5294	35.1176	1.822
2225	neural mechanisms	0.7582	0.3088	1	34	54	11	2016.2727	15.8182	0.844
2251	neurogenesis	-0.2824	-0.7091	4	31	56	13	2016.3846	14.8462	0.8088
2269	neurons	-0.5064	-0.1977	2	45	86	20	2015.95	44.9	2.1593
2312	nmda receptors	-0.8459	0.5273	3	50	137	27	2016.4074	17.037	1.6572
2365	object recognition	-0.0779	-0.3003	4	48	108	21	2014.4762	23.9524	1.0063
2385	older-adults	0.9926	0.132	1	47	144	25	2014.6	14.4	0.596
2491	pattern separation	-0.3342	-0.0055	2	57	119	22	2015.9545	25.6818	1.618
2509	performance	0.7579	-0.2605	1	46	92	23	2015.1739	10.5217	0.5061
2518	perirhinal cortex	0.308	0.6949	3	48	131	20	2014.45	25.35	0.9725
2576	plasticity	-0.466	-0.3553	2	49	110	30	2016.1667	21.8	1.398
2645	prefrontal cortex	0.2928	0.2015	1	89	375	74	2015.6081	19.6757	0.9992
2720	protein-synthesis	-1.113	0.251	2	46	140	29	2015.0345	26.7586	1.5161
2775	rat	-0.1913	0.3777	3	55	120	24	2014.2083	22.5	1.1099
2780	rat hippocampus	-0.7064	-0.0255	2	43	70	14	2014.8571	15.6429	0.7174
2785	rats	-0.4059	0.303	3	68	232	42	2014.5	23.9286	0.9803
2796	recall	1.0743	-0.3196	1	32	60	15	2015.2	6.3333	0.4792
2826	recognition	0.9864	-0.0977	1	36	73	18	2015.5	13.5	0.875
2827	recognition memory	0.6126	0.3222	1	81	395	82	2014.4024	19.7073	0.7763
2830	recollection	1.1186	0.2721	1	43	134	26	2014.6923	21.4615	0.9021
