id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
67	el haj (2018)	"<table><tr><td>Authors:</td><td>el haj, mohamad; nandrino, jean louis</td></tr><tr><td>Title:</td><td>seeing life through rose-colored spectacles: autobiographical memory as experienced in korsakoff's syndrome</td></tr><tr><td>Source:</td><td>consciousness and cognition, 60, 9-16</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.concog.2018.02.007	-0.7926	0.1521	1	6	7	1.048	2018	7	1.048
89	el haj (2017)	"<table><tr><td>Authors:</td><td>el haj, mohamad; nandrino, jean louis; coello, yann; miller, ralph; antoine, pascal</td></tr><tr><td>Title:</td><td>source monitoring in korsakoff's syndrome: """"did i touch the toothbrush or did i imagine doing so?""""</td></tr><tr><td>Source:</td><td>cortex, 91, 262-270</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.cortex.2017.02.006	-0.7062	0.1171	1	7	12	0.8543	2017	12	0.8543
213	kessels (2012)	"<table><tr><td>Authors:</td><td>kessels, roy p. c.; kopelman, michael d.</td></tr><tr><td>Title:</td><td>context memory in korsakoff's syndrome</td></tr><tr><td>Source:</td><td>neuropsychology review, 22(2), 117-131</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1007/s11065-012-9202-5	-0.8017	0.216	1	7	45	1.3252	2012	45	1.3252
245	rajah (2010a)	"<table><tr><td>Authors:</td><td>rajah, m. natasha; kromas, michelle; han, jung eun; pruessner, jens c.</td></tr><tr><td>Title:</td><td>group differences in anterior hippocampal volume and in the retrieval of spatial and temporal context memory in healthy young versus older adults</td></tr><tr><td>Source:</td><td>neuropsychologia, 48(14), 4020-4030</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1016/j.neuropsychologia.2010.10.010	-0.7161	-0.3556	4	3	52	1.249	2010	52	1.249
246	jenkins (2010)	"<table><tr><td>Authors:</td><td>jenkins, lucas j.; ranganath, charan</td></tr><tr><td>Title:</td><td>prefrontal and medial temporal lobe activity at encoding predicts temporal context memory</td></tr><tr><td>Source:</td><td>journal of neuroscience, 30(46), 15558-15565</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1523/jneurosci.1337-10.2010	-0.7971	-0.2597	4	3	109	2.6181	2010	109	2.6181
247	frenkel (2010)	"<table><tr><td>Authors:</td><td>frenkel, lia; daniel suarez, luis; maldonado, hector; delorenzi, alejandro</td></tr><tr><td>Title:</td><td>angiotensin modulates long-term memory expression but not long-term memory storage in the crab chasmagnathus</td></tr><tr><td>Source:</td><td>neurobiology of learning and memory, 94(4), 509-520</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1016/j.nlm.2010.09.003	0.7725	-0.3547	2	10	10	0.2402	2010	10	0.2402
250	duarte (2010)	"<table><tr><td>Authors:</td><td>duarte, audrey; henson, richard n.; knight, robert t.; emery, tina; graham, kim s.</td></tr><tr><td>Title:</td><td>orbito-frontal cortex is necessary for temporal context memory</td></tr><tr><td>Source:</td><td>journal of cognitive neuroscience, 22(8), 1819-1831</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1162/jocn.2009.21316	-0.8124	-0.2057	4	5	48	1.1529	2010	48	1.1529
254	rajah (2010b)	"<table><tr><td>Authors:</td><td>rajah, m. natasha; languay, rafael; valiquette, luc</td></tr><tr><td>Title:</td><td>age-related changes in prefrontal cortex activity are associated with behavioural deficits in both temporal and spatial context memory retrieval in older adults</td></tr><tr><td>Source:</td><td>cortex, 46(4), 535-549</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1016/j.cortex.2009.07.006	-0.7019	-0.3306	4	4	58	1.3931	2010	58	1.3931
277	carbo tano (2009)	"<table><tr><td>Authors:</td><td>carbo tano, m.; molina, v. a.; maldonado, h.; pedreira, m. e.</td></tr><tr><td>Title:</td><td>memory consolidation and reconsolidation in an invertebrate model: the role of the gabaergic system</td></tr><tr><td>Source:</td><td>neuroscience, 158(2), 387-401</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.neuroscience.2008.10.039	0.6764	-0.2502	2	10	32	0.8918	2009	32	0.8918
287	pitel (2008)	"<table><tr><td>Authors:</td><td>pitel, anne lise; beaunieux, helene; witkowski, thomas; vabret, francois; de la sayette, vincent; viader, fausto; desgranges, beatrice; eustache, francis</td></tr><tr><td>Title:</td><td>episodic and working memory deficits in alcoholic korsakoff patients: the continuity theory revisited</td></tr><tr><td>Source:</td><td>alcoholism-clinical and experimental research, 32(7), 1229-1241</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1111/j.1530-0277.2008.00677.x	-0.7994	0.1032	1	7	77	1.4037	2008	77	1.4037
