id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
15	activation	0.3311	-0.7581	4	47	109	18	2004.2222	190.9444	2.4258
22	adult age-differences	-0.4716	0.7862	1	37	61	9	2005.1111	81.5556	1.3967
28	age	0.2266	-0.4438	3	35	61	12	2006.75	23.75	0.5589
30	age-differences	-0.2305	0.4675	1	62	144	27	2004.6667	62.5185	1.0291
31	age-related differences	0.1709	-0.2387	2	33	50	8	2005.75	124.75	2.4141
35	aging	-0.1063	0.3868	1	72	247	32	2006	47.4062	1.0825
41	alzheimer's disease	-0.3417	-0.2592	2	27	39	5	2005	59.2	1.0077
45	amnesia	-0.3617	-0.9282	2	39	82	15	2003.9333	59.2667	1.0632
46	amnesic patients	-0.3211	-0.7348	2	30	44	6	2000.8333	71.3333	0.7505
79	attention	0.0717	0.3541	1	47	106	19	2005.1053	56.5789	0.97
105	binding	-0.6258	0.8261	1	39	72	11	2006	39.4545	0.8969
108	brain	0.389	-0.0474	3	46	98	16	2006	26.125	0.5358
109	brain activity	0.3866	-0.4432	4	57	164	23	2006.2609	108.5652	2.1192
111	brain potentials	1.1236	-0.041	3	49	157	18	2004.1111	58.1667	1.0758
134	children	-0.2017	-0.1055	2	48	72	11	2005.5455	51	0.8364
145	cognition	-0.2688	-0.4505	2	42	60	10	2006.2	49.7	1.0374
160	cognitive neuroscience	0.0776	-0.0765	4	37	55	6	2005.6667	84.8333	1.2824
181	confidence	-0.8071	-0.2932	2	31	52	8	2006.25	41.375	0.9748
187	conscious recollection	0.6823	0.7311	3	39	89	11	2002.8182	69.6364	1.205
191	context	-0.7398	0.0258	2	50	108	17	2006.5882	33.1176	0.772
207	cortex	0.1279	-0.7376	4	49	118	15	2004.4	72	1.0724
227	decision-processes	-0.1415	1.0259	1	28	55	8	2005.375	40.875	0.7995
229	declarative memory	0.5286	-0.2042	4	34	57	8	2006.125	61.625	0.9903
234	deficits	-0.5548	-0.5694	2	51	116	22	2005.1818	52.5	0.9511
240	dementia	-0.4494	-0.3852	2	40	72	14	2005.3571	45.7143	0.862
259	dissociation	0.4216	-0.5994	4	53	120	17	2004.8824	106.1765	1.717
264	divided attention	0.0488	0.752	1	39	73	12	2006.5	31.5833	0.6612
276	dual-process model	-0.018	1.0921	1	24	51	7	2005.1429	64.8571	1.3695
278	dysfunction	-0.7929	-0.7406	2	30	53	9	2001	56	0.8439
287	electrophysiological evidence	1.2217	0.2743	3	31	79	9	2004.3333	125.1111	1.8613
290	emotion	-0.4922	0.6058	1	34	66	11	2007.0909	42.0909	0.9057
306	episodic memory	0.2184	-0.026	3	94	593	87	2005.6437	64.6552	1.2555
308	episodic retrieval	0.7304	-0.7734	4	34	52	7	2005.5714	124.5714	1.7322
310	erp	0.8143	-0.1254	3	55	149	18	2006.5556	38.5556	0.8155
314	erps	0.7443	0.4869	3	34	69	8	2004.375	37.375	0.782
324	event-related fmri	0.2298	-0.9681	4	35	86	13	2004.7692	137.9231	2.2043
325	event-related potential	0.9266	-0.0172	3	34	53	6	2005.5	50.8333	0.843
326	event-related potentials	0.6959	0.1867	3	75	333	39	2005.1026	56.5128	1.0494
329	events	-0.5348	0.3464	1	34	53	13	2005.8462	28.5385	0.6298
338	experience	-0.2591	0.6835	1	53	107	14	2006.5714	77.8571	1.3712
343	explicit memory	0.9098	0.3433	3	36	60	7	2003.5714	73.8571	1.1561
362	false memories	-0.4705	-0.1279	2	49	78	14	2006.2143	35.0714	0.696
363	false memory	-0.804	0.3932	1	39	79	11	2006.8182	39.9091	0.9648
365	false recognition	-0.0326	-0.1969	2	60	138	19	2004.5263	70.6842	1.2604
367	familiarity	0.3738	0.3587	1	87	473	66	2006.2121	73.0758	1.3361
377	fmri	0.503	-0.7518	4	52	178	26	2006.5	80.1923	1.6241
397	frontal lobes	-0.2111	-0.8787	2	39	51	6	2002.1667	81.1667	1.0006
400	frontal-cortex	0.5998	-0.61	4	34	53	8	2005.375	191.25	2.1483
404	frontal-lobe lesions	-0.1125	-0.696	2	50	95	14	2003.5	62.7857	1.0282
411	functional mri	0.9802	-0.5083	4	29	45	6	2003.1667	161.8333	1.7744
432	hallucinations	-1.1854	-0.3477	2	18	32	8	2005.75	41.125	0.9287
445	hippocampal	0.1675	0.5249	1	30	47	6	2007.5	72.3333	1.7395
453	hippocampus	-0.1055	-0.4922	4	54	128	18	2005.8889	88.1667	1.7603
482	impairment	-0.5805	-0.7111	2	48	115	19	2004.5789	58.2632	0.96
499	information	-0.4023	0.4947	1	72	245	48	2005.8333	41.2708	0.8076
519	item	0.0746	0.1754	4	68	217	37	2005.2162	63.027	1.1532
520	item memory	0.625	-0.3749	3	50	104	15	2005.9333	44.8667	0.8056
521	item recognition	1.047	0.3584	3	30	50	7	2006.1429	55.7143	1.1641
525	judgments	-0.0899	0.7063	1	42	69	12	2004.6667	70.8333	1.245
533	knowledge	-0.8068	0.6002	1	30	44	6	2007.8333	39.6667	1.0454
546	lesions	-0.465	-0.8603	2	26	42	7	2003.4286	39.7143	0.8186
555	lobe	-0.3677	-0.5709	2	32	43	8	2005.25	74.75	1.1893
585	medial temporal-lobe	0.5553	0.0684	4	52	129	17	2006.5294	96.8235	2.006
590	memory	-0.5705	-0.2732	2	82	275	50	2005.68	56.04	1.0259
633	model	-0.9397	-0.0258	2	30	46	8	2004.5	52.875	0.9558
634	models	0.1849	0.6668	1	55	126	23	2004.6957	49.3043	0.9929
656	name agreement	0.8218	-0.3439	3	44	91	11	2004.0909	103.0909	1.5875
706	old/new effect	1.0683	0.1549	3	33	58	7	2005.8571	26.8571	0.5246
709	older adults	-0.1422	0.115	1	53	123	19	2002.4737	67.2105	1.1418
711	older-adults	-0.3856	0.3239	1	73	247	37	2006.6757	60.6757	1.3372
755	performance	-0.7119	-0.1474	2	51	114	22	2004.6364	41.5909	0.8678
771	pictures	0.6398	-0.0802	3	44	82	11	2005.8182	119.7273	1.794
777	positron-emission-tomography	0.139	-0.5917	2	40	59	8	2004.125	202.75	2.4177
794	prefrontal cortex	0.4019	-0.2577	3	82	309	42	2004.119	87.9524	1.4783
840	reality monitoring	-0.9535	-0.3787	2	25	44	9	2006.8889	46.8889	1.1241
842	recall	-0.7223	0.2174	1	59	178	34	2005.6176	52.2353	1.011
848	receiver-operating characteristics	0.0829	1.0177	1	27	61	9	2006.3333	101.3333	2.1744
850	recognition	-0.3774	0.1236	1	84	275	47	2005.4681	51.2766	0.962
852	recognition memory	0.3475	0.1526	3	96	844	125	2005.456	64.6	1.1677
854	recollection	0.2206	0.2363	1	95	672	91	2005.6044	76.1209	1.2897
855	recollective experience	0.2513	0.7991	1	45	79	11	2003.9091	55.6364	0.9698
882	repetition	-0.0266	0.5428	1	36	64	9	2007.1111	38	0.9576
