id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
40	activation	0.1618	-0.1655	3	61	161	28	2015.4286	22.6786	1.4426
58	adults	0.6764	-0.0892	1	41	84	15	2014.7333	20.4	1.0103
68	age	0.4677	-0.0568	1	66	148	24	2014.375	14.2917	1.0979
70	age-differences	0.2623	0.1214	1	70	272	40	2014.825	12.175	0.8856
72	age-related differences	-0.0066	-0.9607	4	56	182	21	2014.0476	31.8571	1.71
77	aging	0.2398	-0.5997	1	87	577	78	2014.5769	20.5897	1.5031
94	alzheimer's disease	0.8759	-0.4114	1	37	105	17	2014.0588	15.7647	1.1519
97	alzheimers-disease	0.6589	-0.6446	1	61	196	32	2016.1875	10.125	1.0659
108	amygdala	-0.216	0.5332	2	49	93	14	2014.5714	10.5714	0.8974
136	arousal	-0.4947	0.6854	2	48	152	22	2015.4091	8.7273	1.08
145	associative memory	-0.2386	-0.2764	3	62	193	26	2015.9615	14.2308	1.5735
148	associative recognition	-0.9179	0.2693	5	50	131	17	2014.1176	22.1176	1.1574
156	attention	-0.043	0.5611	2	79	271	43	2015.0698	14.9767	1.123
183	autobiographical memory	0.8621	-0.5409	1	51	175	31	2014.1613	18.4516	1.1548
231	binding	0.042	0.4125	2	63	215	37	2014.9189	8.4324	0.8048
242	brain	-0.0542	-0.3507	3	75	299	48	2015.1875	20.4375	1.304
244	brain activity	-0.2618	-0.8417	3	63	270	36	2014.7778	15.4444	1.3612
252	brain potentials	-0.8234	-0.7935	4	37	133	16	2014.125	14.75	1.3678
309	children	0.3135	-0.732	1	41	103	21	2014.9048	13.2857	1.2541
334	cognition	0.994	0.0931	1	41	85	17	2014.4706	26.7059	1.1569
337	cognitive aging	-0.0977	-0.1131	4	41	93	15	2014.3333	31.9333	1.1205
339	cognitive control	-0.0427	-0.7565	4	51	126	20	2015.95	9.4	1.1225
395	confidence	-0.1882	0.3834	1	52	126	20	2013.6	16.25	0.7776
425	context	-0.3537	0.3364	5	78	273	44	2015.25	12.8864	0.9762
431	context memory	0.0876	0.2538	2	65	160	27	2014.3704	13.7407	1.0277
458	cortex	0.0985	-0.0119	3	59	135	20	2015.5	19.9	1.7159
526	deficits	0.8684	0.1902	1	51	130	26	2013.8462	11.1154	0.7576
536	dementia	0.9257	-0.1537	1	49	106	20	2015.75	10.8	1.1592
599	dissociation	-0.7321	-0.2072	3	48	166	23	2013.913	21.0435	1.0226
619	divided attention	-0.0754	0.2496	2	47	117	18	2014.1667	6.7222	0.524
644	dual-process model	-0.9857	0.7003	5	34	104	14	2014	21.8571	1.2869
678	electrophysiological evidence	-1.052	-0.0799	5	45	150	17	2015.8235	11.2941	1.0141
683	emotion	-0.1955	0.679	2	63	210	30	2015.9	9.4333	0.896
712	encoding	0.1027	-0.7453	4	52	129	16	2014.8125	10.0625	0.9666
726	enhancement	-0.2033	0.8398	2	34	86	18	2014.4444	5.3889	0.5061
745	episodic memory	-0.1734	-0.4328	3	99	1310	201	2015.204	14.4876	1.1426
749	episodic retrieval	-0.5332	-0.6565	4	50	158	19	2014.4737	18.9474	1.2002
756	erp	-0.9351	-0.5658	4	53	212	27	2015.2593	9.0741	1.1239
776	event-related fmri	-0.1636	-0.9792	4	43	126	17	2014.2941	18.4706	1.2369
779	event-related potentials	-0.8227	-0.4309	4	71	386	50	2015.1	12.14	1.0406
790	executive function	0.7381	-0.2125	1	53	119	19	2014.4737	21	1.3484
830	faces	0.2854	0.955	2	37	102	28	2015.6429	8.75	1.0242
845	false memories	0.6045	0.5233	1	51	149	30	2014.4667	6.8	0.4752
846	false memory	0.6663	0.3404	1	51	139	29	2015.1034	8.3793	0.7532
848	false recognition	0.0688	-0.2526	1	39	81	17	2012.8235	15.5882	0.8039
853	familiarity	-0.6945	0.2203	5	94	994	134	2014.4701	16.6269	1.0406
888	fmri	-0.0677	-0.566	3	81	634	90	2014.7889	17.8778	1.4005
982	hallucinations	0.8339	0.4209	1	34	70	15	2015.7333	7.2	0.9935
1009	hippocampal	-0.4865	-0.2727	3	59	139	19	2015.6842	14.4211	1.4411
1022	hippocampus	-0.474	-0.0798	3	63	292	44	2014.9091	17.0227	1.2272
1078	impairment	0.9944	-0.3659	1	43	89	19	2014.6842	9.5263	0.8591
1129	information	0.1177	0.6519	2	86	498	85	2015.2588	10.7765	0.863
1190	item	-0.4308	0.4292	2	87	488	74	2015.0676	12.9595	1.041
1192	item memory	-0.3082	0.024	4	60	217	34	2015.7353	7.3824	0.7934
1207	judgments	-0.0166	0.805	2	56	168	29	2014.3103	13.1379	0.7989
1220	knowledge	0.705	0.7116	2	35	72	17	2014.7059	11	1.1004
1233	late posterior negativity	-0.6893	-0.8767	4	38	109	12	2016.8333	12.75	1.9827
1286	long-term-memory	0.1103	-0.477	1	44	91	16	2013.1875	21.5625	1.564
1321	mechanisms	0.279	0.0051	3	53	89	18	2015.6111	9.2778	0.935
1323	medial prefrontal cortex	0.4986	-0.7672	1	45	103	14	2015.0714	18.5	1.4877
1325	medial temporal-lobe	-0.5878	-0.4257	3	85	686	90	2014.1556	23.3444	1.3428
1335	memory	0.4037	0.1731	1	92	513	102	2015.2451	13.5588	1.1142
1379	metaanalysis	0.6085	-0.2836	1	62	145	22	2016	9.2727	1.0306
1382	metamemory	0.5008	0.4049	1	46	92	14	2016	13.7857	0.8578
1388	mild cognitive impairment	0.4419	-0.6354	1	43	105	15	2016.0667	7.0667	1.0153
1417	model	0.4782	0.8401	2	39	92	22	2015.5	8.9545	0.8552
1420	models	-0.124	1.0029	2	32	84	20	2015.1	7.45	0.5886
1507	neural mechanisms	-0.339	-0.4094	4	58	177	24	2015.625	17.75	1.4645
1585	older-adults	0.2347	-0.3527	1	90	541	82	2014.3415	15.622	1.0441
1629	parietal cortex	-0.7074	-0.582	3	55	173	21	2014.8571	22.9048	1.5518
1652	perception	0.3962	0.3232	2	52	101	17	2015.7647	9.5882	0.7633
1661	performance	0.5299	0.1121	1	76	304	55	2014.9636	15.1091	0.9075
1667	perirhinal cortex	-0.9503	-0.2516	3	41	119	16	2014.1875	14.25	1.0752
1751	prefrontal cortex	-0.2058	-0.6746	4	80	460	63	2014.5079	18.2063	1.0793
1780	process model	-0.9245	0.4542	5	43	126	16	2012.5625	21.5	1.0124
1788	processing tree models	0.0889	1.0455	2	33	119	26	2015.0769	11.2692	0.9973
1830	reactivation	-0.7317	0.0012	3	39	99	15	2015.4667	13.4	1.7137
1836	reality monitoring	0.7548	0.0244	1	51	116	18	2015.7222	8.6111	1.0061
1839	recall	0.7111	0.1764	1	63	260	53	2014.9811	13.9434	1.285
1846	receiver-operating characteristics	-1.0947	0.5956	5	42	154	19	2013.1053	25.2105	1.3779
1854	recognition	0.1904	0.4592	2	97	654	109	2015.0917	10.8073	0.9887
1857	recognition memory	-0.4244	0.17	5	99	1353	207	2014.372	16.7681	1.1017
1860	recollection	-0.5781	0.042	5	95	1328	180	2014.5722	15.55	1.1672
1932	response bias	0.3772	0.5407	1	36	73	14	2013.5714	15	0.8464
1943	retrieval	-0.3015	-0.1344	3	94	865	129	2014.7364	15.2326	1.1649
1985	rocs	-0.9637	0.8603	5	28	83	13	2013.2308	14.4615	0.7048
2007	schematic knowledge	0.2589	0.8424	2	36	84	21	2014.5714	13.4762	0.8697
2008	schizophrenia	0.9346	0.3595	1	45	129	31	2014.4839	11.871	0.8496
2026	self	1.0241	-0.044	1	49	136	26	2015.1154	12.6154	0.9071
2047	self-reference effect	0.6641	-0.4386	1	46	105	14	2017.1429	9	1.1654
2097	signal-detection-theory	-0.7901	0.9218	5	24	88	16	2013.1875	21.625	1.0896
