id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
23	horne (2020)	"<table><tr><td>Authors:</td><td>horne, erin d.; koen, joshua d.; hauck, nedra; rugg, michael d.</td></tr><tr><td>Title:</td><td>age differences in the neural correlates of the specificity of recollection: an event-related potential study</td></tr><tr><td>Source:</td><td>neuropsychologia, 140</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.neuropsychologia.2020.107394	1.0331	0.1838	1	14	1	2.1053	2020	1	2.1053
256	mecklinger (2016)	"<table><tr><td>Authors:</td><td>mecklinger, axel; rosburg, timm; johansson, mikael</td></tr><tr><td>Title:</td><td>reconstructing the past: the late posterior negativity (lpn) in episodic memory studies</td></tr><tr><td>Source:</td><td>neuroscience and biobehavioral reviews, 68, 621-638</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.neubiorev.2016.06.024	1.0453	0.5326	1	8	22	3.0332	2016	22	3.0332
270	james (2016)	"<table><tr><td>Authors:</td><td>james, taylor; strunk, jonathan; arndt, jason; duarte, audrey</td></tr><tr><td>Title:</td><td>age-related deficits in selective attention during encoding increase demands on episodic reconstruction during context retrieval: an erp study</td></tr><tr><td>Source:</td><td>neuropsychologia, 86, 66-79</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.neuropsychologia.2016.04.009	0.3706	0.3608	1	21	14	1.9302	2016	14	1.9302
338	leshikar (2015)	"<table><tr><td>Authors:</td><td>leshikar, eric d.; dulas, michael r.; duarte, audrey</td></tr><tr><td>Title:</td><td>self-referencing enhances recollection in both young and older adults</td></tr><tr><td>Source:</td><td>aging neuropsychology and cognition, 22(4), 388-412</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1080/13825585.2014.957150	-0.7487	-0.4514	4	7	42	3.5776	2015	42	3.5776
388	dulas (2014)	"<table><tr><td>Authors:</td><td>dulas, michael r.; duarte, audrey</td></tr><tr><td>Title:</td><td>aging affects the interaction between attentional control and source memory: an fmri study</td></tr><tr><td>Source:</td><td>journal of cognitive neuroscience, 26(12), 2653-2669</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1162/jocn_a_00663	-0.0068	-0.3399	4	17	26	1.9707	2014	26	1.9707
428	leshikar (2014)	"<table><tr><td>Authors:</td><td>leshikar, eric d.; duarte, audrey</td></tr><tr><td>Title:</td><td>medial prefrontal cortex supports source memory for self-referenced materials in young and older adults</td></tr><tr><td>Source:</td><td>cognitive affective & behavioral neuroscience, 14(1), 236-252</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.3758/s13415-013-0198-y	-0.4481	-0.5859	4	10	43	3.2592	2014	43	3.2592
491	dulas (2013)	"<table><tr><td>Authors:</td><td>dulas, michael r.; duarte, audrey</td></tr><tr><td>Title:</td><td>the influence of directed attention at encoding on source memory retrieval in the young and old: an erp study</td></tr><tr><td>Source:</td><td>brain research, 1500, 55-71</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/j.brainres.2013.01.018	0.5797	0.2089	1	20	18	1.1857	2013	18	1.1857
533	mollison (2012)	"<table><tr><td>Authors:</td><td>mollison, matthew v.; curran, tim</td></tr><tr><td>Title:</td><td>familiarity in source memory</td></tr><tr><td>Source:</td><td>neuropsychologia, 50(11), 2546-2565</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.neuropsychologia.2012.06.027	0.455	0.6235	1	7	45	2.1213	2012	45	2.1213
542	addante (2012)	"<table><tr><td>Authors:</td><td>addante, richard j.; ranganath, charan; yonelinas, andrew p.</td></tr><tr><td>Title:</td><td>examining erp correlates of recognition memory: evidence of accurate source recognition without recollection</td></tr><tr><td>Source:</td><td>neuroimage, 62(1), 439-450</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.neuroimage.2012.04.031	0.7119	0.7073	1	6	62	2.9227	2012	62	2.9227
565	bell (2012)	"<table><tr><td>Authors:</td><td>bell, raoul; buchner, axel; erdfelder, edgar; giang, trang; schain, cecile; riether, nina</td></tr><tr><td>Title:</td><td>how specific is source memory for faces of cheaters? evidence for categorical emotional tagging</td></tr><tr><td>Source:</td><td>journal of experimental psychology-learning memory and cognition, 38(2), 457-472</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1037/a0026017	-1.1445	0.1079	2	7	25	1.1785	2012	25	1.1785
583	leshikar (2012)	"<table><tr><td>Authors:</td><td>leshikar, eric d.; duarte, audrey</td></tr><tr><td>Title:</td><td>medial prefrontal cortex supports source memory accuracy for self-referenced items</td></tr><tr><td>Source:</td><td>social neuroscience, 7(2), 126-145</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1080/17470919.2011.585242	-0.5849	-0.3718	4	6	48	2.2627	2012	48	2.2627
586	dulas (2012)	"<table><tr><td>Authors:</td><td>dulas, michael r.; duarte, audrey</td></tr><tr><td>Title:</td><td>the effects of aging on material-independent and material-dependent neural correlates of source memory retrieval</td></tr><tr><td>Source:</td><td>cerebral cortex, 22(1), 37-50</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1093/cercor/bhr056	0.1696	-0.7999	3	11	41	1.9327	2012	41	1.9327
613	dulas (2011)	"<table><tr><td>Authors:</td><td>dulas, michael r.; newsome, rachel n.; duarte, audrey</td></tr><tr><td>Title:</td><td>the effects of aging on erp correlates of source memory retrieval for self-referential information</td></tr><tr><td>Source:</td><td>brain research, 1377, 84-100</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1016/j.brainres.2010.12.087	0.2959	-0.1043	4	16	33	1.1186	2011	33	1.1186
708	mitchell (2009)	"<table><tr><td>Authors:</td><td>mitchell, karen j.; johnson, marcia k.</td></tr><tr><td>Title:</td><td>source monitoring 15 years later: what have we learned from fmri about the neural mechanisms of source memory?</td></tr><tr><td>Source:</td><td>psychological bulletin, 135(4), 638-677</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1037/a0015849	-0.0646	-0.005	3	34	361	7.9322	2009	361	7.9322
712	buchner (2009)	"<table><tr><td>Authors:</td><td>buchner, axel; bell, raoul; mehl, bettina; musch, jochen</td></tr><tr><td>Title:</td><td>no enhanced recognition memory, but better source memory for faces of cheaters</td></tr><tr><td>Source:</td><td>evolution and human behavior, 30(3), 212-224</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.evolhumbehav.2009.01.004	-1.3211	0.2529	2	2	64	1.4063	2009	64	1.4063
740	erdfelder (2009)	"<table><tr><td>Authors:</td><td>erdfelder, edgar; auer, tina-sarah; hilbig, benjamin e.; assfalg, andre; moshagen, morten; nadarevic, lena</td></tr><tr><td>Title:</td><td>multinomial processing tree models a review of the literature</td></tr><tr><td>Source:</td><td>zeitschrift fur psychologie-journal of psychology, 217(3), 108-124</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1027/0044-3409.217.3.108	-1.2197	0.3372	2	5	193	4.2408	2009	193	4.2408
751	duarte (2008)	"<table><tr><td>Authors:</td><td>duarte, audrey; henson, richard n.; graham, kim s.</td></tr><tr><td>Title:</td><td>the effects of aging on the neural correlates of subjective and objective recollection</td></tr><tr><td>Source:</td><td>cerebral cortex, 18(9), 2169-2180</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1093/cercor/bhm243	-0.0218	-0.4759	4	16	92	2.4221	2008	92	2.4221
761	diana (2008)	"<table><tr><td>Authors:</td><td>diana, rachel a.; yonelinas, andrew p.; ranganath, charan</td></tr><tr><td>Title:</td><td>the effects of unitization on familiarity-based source memory: testing a behavioral prediction derived from neuroimaging data</td></tr><tr><td>Source:</td><td>journal of experimental psychology-learning memory and cognition, 34(4), 730-740</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1037/0278-7393.34.4.730	-0.1181	0.6773	2	7	133	3.5015	2008	133	3.5015
764	dennis (2008)	"<table><tr><td>Authors:</td><td>dennis, nancy a.; hayes, scott m.; prince, steven e.; madden, david j.; huettel, scott a.; cabeza, roberto</td></tr><tr><td>Title:</td><td>effects of aging on the neural correlates of successful item and source memory encoding</td></tr><tr><td>Source:</td><td>journal of experimental psychology-learning memory and cognition, 34(4), 791-808</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1037/0278-7393.34.4.791	-0.1367	-0.828	3	8	190	5.0021	2008	190	5.0021
765	glisky (2008)	"<table><tr><td>Authors:</td><td>glisky, elizabeth l.; kong, lauren l.</td></tr><tr><td>Title:</td><td>do young and older adults rely on different processes in source memory tasks? a neuropsychological study</td></tr><tr><td>Source:</td><td>journal of experimental psychology-learning memory and cognition, 34(4), 809-822</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1037/0278-7393.34.4.809	0.3263	-0.4011	3	16	89	2.3431	2008	89	2.3431
800	hayama (2008)	"<table><tr><td>Authors:</td><td>hayama, hiroki r.; johnson, jeffrey d.; rugg, michael d.</td></tr><tr><td>Title:</td><td>the relationship between the right frontal old/new erp effect and post-retrieval monitoring: specific or non-specific?</td></tr><tr><td>Source:</td><td>neuropsychologia, 46(5), 1211-1223</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1016/j.neuropsychologia.2007.11.021	0.8964	-0.0236	1	11	85	2.2378	2008	85	2.2378
839	broeder (2007)	"<table><tr><td>Authors:</td><td>broeder, arndt; meiser, thorsten</td></tr><tr><td>Title:</td><td>measuring source memory</td></tr><tr><td>Source:</td><td>zeitschrift fur psychologie-journal of psychology, 215(1), 52-60</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1027/0044-3409.215.1.52	-0.7761	0.5626	2	10	62	1.7329	2007	62	1.7329
844	uncapher (2006)	"<table><tr><td>Authors:</td><td>uncapher, melina r.; otten, leun j.; rugg, michael d.</td></tr><tr><td>Title:</td><td>episodic encoding is more than the sum of its parts: an fmri investigation of multifeatural contextual encoding</td></tr><tr><td>Source:</td><td>neuron, 52(3), 547-556</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1016/j.neuron.2006.08.011	-0.3483	0.136	4	7	142	3.639	2006	142	3.639
855	swick (2006)	"<table><tr><td>Authors:</td><td>swick, diane; senkfor, ava j.; van petten, cyma</td></tr><tr><td>Title:</td><td>source memory retrieval is affected by aging and prefrontal lesions: behavioral and erp evidence</td></tr><tr><td>Source:</td><td>brain research, 1107, 161-176</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1016/j.brainres.2006.06.013	0.5737	-0.3483	5	19	61	1.5632	2006	61	1.5632
920	slotnick (2005)	"<table><tr><td>Authors:</td><td>slotnick, sd; dodson, cs</td></tr><tr><td>Title:</td><td>support for a continuous (single-process) model of recognition memory and source memory</td></tr><tr><td>Source:</td><td>memory & cognition, 33(1), 151-170</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.3758/bf03195305	-0.3716	0.7644	2	6	131	2.3561	2005	131	2.3561
926	glanzer (2004)	"<table><tr><td>Authors:</td><td>glanzer, m; hilford, a; kim, k</td></tr><tr><td>Title:</td><td>six regularities of source recognition</td></tr><tr><td>Source:</td><td>journal of experimental psychology-learning memory and cognition, 30(6), 1176-1195</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	https://doi.org/10.1037/0278-7393.30.6.1176	-0.5522	0.6221	2	8	55	0.7779	2004	55	0.7779
932	li (2004)	"<table><tr><td>Authors:</td><td>li, juan; morcom, alexa m.; rugg, michael d.</td></tr><tr><td>Title:</td><td>the effects of age on the neural correlates of successful episodic retrieval: an erp study</td></tr><tr><td>Source:</td><td>cognitive affective & behavioral neuroscience, 4(3), 279-293</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	https://doi.org/10.3758/cabn.4.3.279	0.8788	0.1273	1	12	68	0.9618	2004	68	0.9618
