id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. citations>
48	activation	0.148	-0.2067	2	74	263	46	88.5217
71	adults	-0.4643	-0.505	1	47	120	21	26.6667
83	age	-0.3409	-0.6456	1	68	202	36	17.4444
86	age-differences	-0.2482	0.1676	1	84	427	69	31.5217
88	age-related differences	0.4624	-0.6364	2	66	223	29	57.4828
93	aging	0.0758	-0.3423	1	96	820	112	27.8839
115	alzheimer's disease	-0.6359	-0.5051	1	45	134	22	25.6364
119	alzheimers-disease	-0.2107	-0.7689	1	63	218	38	16.3947
122	amnesia	-0.2368	-0.4875	1	47	118	23	41.6087
169	arousal	0.0029	0.8234	3	56	178	28	16.0714
184	associative memory	0.4109	-0.4599	2	60	192	27	15.8519
187	associative recognition	0.5975	0.6654	5	54	151	20	30.8
196	attention	-0.0116	0.5368	3	89	386	63	27.2857
227	autobiographical memory	-0.5769	-0.839	1	52	184	34	20.2353
280	binding	-0.2643	0.3347	3	71	279	48	15.5417
293	brain	0.2479	-0.491	2	77	382	65	21.5231
296	brain activity	0.5388	-0.7883	2	75	425	59	51.7458
305	brain potentials	1.074	0.305	4	55	274	34	37.7353
374	children	-0.1612	-0.1642	1	62	183	33	25.4545
406	cognition	-0.6683	-0.381	1	55	146	27	35.2222
413	cognitive control	0.2657	-0.6818	2	52	144	24	15.9583
485	confidence	-0.4481	0.1535	1	61	179	28	23.4286
517	context	-0.0826	0.2472	3	85	374	61	18.5246
523	context memory	0.0077	0.1415	3	70	201	32	25.3125
560	cortex	0.0534	-0.63	2	72	247	36	41.0556
636	deficits	-0.8354	-0.368	1	64	229	48	30.0833
649	dementia	-0.73	-0.2521	1	57	167	34	25.1765
716	dissociation	0.8055	-0.0696	2	63	276	40	57.225
736	divided attention	0.1554	0.2689	3	60	191	30	16.6667
767	dual-process model	0.4107	1.0234	5	43	153	21	36.1905
806	electrophysiological evidence	0.9995	0.5692	4	53	213	26	50.6923
813	emotion	-0.1314	0.661	3	69	270	41	18.1951
844	encoding	0.6965	-0.7427	2	54	168	20	24.35
879	episodic memory	0.2848	-0.2935	2	99	1854	290	29.4379
883	episodic retrieval	0.7824	-0.5512	2	59	203	26	47.3846
891	erp	0.9362	0.0894	4	69	359	46	20.413
897	erps	0.9187	0.3327	4	51	143	17	20.7647
920	event-related fmri	0.4849	-0.9394	2	49	205	30	70.2333
923	event-related potentials	0.7795	0.1939	4	85	694	90	31.2333
926	events	-0.792	-0.0689	1	51	113	25	21.44
937	executive function	-0.3773	-0.8669	1	54	143	24	30.2083
944	experience	-0.528	0.492	3	63	178	27	43.7778
950	explicit memory	0.7407	0.4176	4	49	130	19	38.5263
984	faces	-0.6107	0.679	3	45	120	31	12.9677
1004	false memories	-0.7538	0.1272	1	68	224	44	15.7955
1005	false memory	-0.9181	0.188	1	63	214	40	17.05
1007	false recognition	0.0115	-0.0492	1	68	211	36	44.6667
1013	familiarity	0.5215	0.4477	5	96	1438	201	35.0796
1051	fmri	0.2962	-0.857	2	89	798	116	31.8448
1169	hallucinations	-1.0512	-0.2235	1	41	104	23	19
1206	hippocampal	0.6219	-0.0906	2	60	184	26	27.2308
1222	hippocampus	0.5376	-0.2826	2	76	415	63	37.0794
1295	impairment	-0.6609	-0.6998	1	56	191	38	33.8947
1354	information	-0.3063	0.5375	3	93	753	136	21.3015
1421	item	0.1712	0.4488	3	93	698	112	29.3839
1423	item memory	0.4403	0.0675	4	77	307	49	18.8571
1440	judgments	-0.3339	0.7325	3	66	237	42	29.3095
1459	knowledge	-0.9125	0.5007	3	49	116	23	18.4783
1474	late posterior negativity	1.1276	0.1052	4	47	149	17	27
1542	long-term-memory	0.0567	-0.8136	1	52	128	21	31
1597	medial temporal-lobe	0.7539	-0.3732	2	85	802	107	35.0187
1610	memory	-0.3589	-0.2443	1	95	780	153	27.3529
1667	metaanalysis	-0.4766	-0.3657	1	65	176	28	12.6071
1670	metamemory	-0.8999	0.0366	1	56	129	19	21.2105
1711	model	-0.7693	0.4537	3	50	143	31	20
1714	models	-0.2739	0.8596	3	59	207	44	29.1591
1816	neural mechanisms	0.4394	-0.1842	2	58	178	25	17.04
1916	older adults	-0.1489	0.4619	4	51	140	25	54.12
1920	older-adults	-0.1102	-0.315	1	95	758	119	29.6303
1978	parietal cortex	0.9954	-0.4922	2	56	199	25	24.72
2008	perception	-0.4761	-0.0329	3	56	128	23	16.3913
2018	performance	-0.5184	-0.2016	1	82	413	77	22.6753
2024	perirhinal cortex	1.1425	-0.3322	2	39	148	20	23.15
2058	pictures	0.3155	0.6499	4	58	160	23	63.3913
2125	prefrontal cortex	0.5664	-0.4713	2	91	723	105	46.1048
2161	process model	0.7828	0.6125	5	45	137	18	25.7222
2171	processing tree models	-0.612	0.9511	3	37	145	30	16.2
2225	reactivation	0.8039	-0.2211	2	44	127	19	30.7368
2232	reality monitoring	-0.8911	-0.525	1	55	157	27	21.3704
2235	recall	-0.6359	0.0299	1	80	451	88	28.5795
2243	receiver-operating characteristics	0.6026	0.9327	5	46	207	28	49.6786
2251	recognition	-0.3904	0.3139	3	98	921	158	22.7089
2255	recognition memory	0.3067	0.1975	4	99	2152	334	34.5689
2259	recollection	0.4892	0.2362	4	96	1972	272	35.7574
2263	recollective experience	0.033	0.3846	4	61	153	21	34.5714
2322	repetition	0.3444	0.4439	4	57	152	21	21.7619
2352	response bias	-0.5809	0.3351	1	45	113	21	25.381
2366	retrieval	0.3176	-0.0645	2	98	1302	201	39.8308
2441	schematic knowledge	-0.7528	0.7249	3	40	117	29	16.4483
2442	schizophrenia	-0.9945	-0.3322	1	52	210	49	19.449
2462	self	-0.7977	-0.6481	1	54	174	33	20.4848
2551	signal-detection-theory	0.2093	1.0919	5	34	122	23	28.4783
2608	source information	-0.4996	0.8022	3	50	124	24	23.5417
2610	source memory	-0.1298	0.0069	1	99	2886	521	25.8215
2615	source memory retrieval	1.0424	-0.14	4	47	165	19	20.0526
2619	source monitoring	-0.8255	0.343	3	76	378	79	17.2911
2747	supports source memory	-0.0421	-0.4625	2	53	122	20	8.8
3014	words	0.0704	0.6904	3	57	154	23	56
